SITE_ID,VISIT_NO,thermocline_depth,buoyancy_frequency
NLA12_MI-126,1.0,6.22014509524,0.00566030359988
NLA12_MI-128,1.0,5.74015275941,0.0106757462701
NLA12_MI-129,1.0,5.31813862878,0.00737922877334
NLA12_MI-130,1.0,1.23412478714,0.00146079014278
NLA12_MI-132,1.0,3.25,0.00246958947834
NLA12_MI-133,1.0,4.71277707297,0.00646191593933
NLA12_MI-135,1.0,3.69582939889,0.0105058191774
NLA12_MI-136,1.0,2.77557898329,0.0161063235593
NLA12_MI-137,1.0,3.77006777895,0.0122607917352
NLA12_MI-138,1.0,2.75,0.00106628661619
NLA12_MI-139,1.0,2.71093809413,0.0168821285662
NLA12_MI-139,2.0,3.6781807229,0.00975363750865
NLA12_MI-141,1.0,4.62950758474,0.011710958922
NLA12_MI-142,1.0,2.5,0.000655708239897
NLA12_MI-144,1.0,0.75,0.00383371943331
NLA12_MI-145,1.0,5.9160764392,0.006206300109
NLA12_MI-148,1.0,5.40778487536,0.00998504706965
NLA12_MI-150,1.0,1.25,0.00641320716802
NLA12_MI-151,1.0,3.98226874881,0.00891926217034
NLA12_MI-152,1.0,2.36860215293,0.0173479514586
NLA12_MI-155,1.0,2.8079132066,0.012654279179
NLA12_MI-161,1.0,5.15,0.00164951401564
NLA12_MI-162,1.0,6.63405220759,0.0101204186244
NLA12_MI-164,1.0,0.35,-0.00311886447262
NLA12_MI-165,1.0,3.4,0.00908408630023
NLA12_MI-167,1.0,2.25,0.0130251697611
NLA12_MI-168,1.0,3.96801222846,0.0120501659518
NLA12_MI-169,1.0,1.78756039672,0.0123676668726
NLA12_MI-172,1.0,6.40446584692,0.00819326172956
NLA12_MI-177,1.0,1.99617388064,0.000238305869666
NLA12_MI-178,1.0,1.35,0.0161884382213
NLA12_MI-R08,1.0,3.3,0.00307981982456
NLA12_MI-R09,1.0,9.15157057821,0.00530418083274
NLA12_MN-101,1.0,3.4188312426,0.0108262819997
NLA12_MN-101,2.0,4.63684850735,0.00586244329414
NLA12_MN-102,1.0,3.45058591512,0.0060230085202
NLA12_MN-103,1.0,0.25,-0.0
NLA12_MN-104,1.0,2.25,0.00780440107396
NLA12_MN-105,1.0,1.65122583755,0.00731484323114
NLA12_MN-106,1.0,7.98770295548,0.00666224212174
NLA12_MN-107,1.0,6.73725484731,0.0040923021127
NLA12_MN-108,1.0,5.40233400463,0.00774893583869
NLA12_MN-109,1.0,1.05,0.00436127930183
NLA12_MN-110,1.0,3.33995613426,0.00710597338418
NLA12_MN-111,1.0,2.64504693118,0.0069201980097
NLA12_MN-112,1.0,0.5,0.00444735019861
NLA12_MN-113,1.0,0.5,0.000131905973288
NLA12_MN-114,1.0,1.44444444444,0.000222574720452
NLA12_MN-115,1.0,6.13312316906,0.00751230511609
NLA12_MN-116,1.0,3.4579375138,0.00954683598824
NLA12_MN-118,1.0,0.25,-0.0
NLA12_MN-119,1.0,2.42032640121,0.000752248606133
NLA12_MN-120,1.0,3.3,0.000931499043792
NLA12_MN-121,1.0,7.35210312925,0.00654171840509
NLA12_MN-122,1.0,1.22699651945,0.00193082263475
NLA12_MN-123,1.0,2.59112686181,0.00981311689826
NLA12_MN-123,2.0,3.39013124039,0.00526244761845
NLA12_MN-126,1.0,1.5,0.0051937434307
NLA12_MN-127,1.0,1.75,0.00344067139641
NLA12_MN-130,1.0,1.40298104773,0.000622747251809
NLA12_MN-131,1.0,0.65,0.012031478533
NLA12_MN-132,1.0,4.56948789686,0.0089254941569
NLA12_MN-135,1.0,0.25,1.92233101446
NLA12_MN-136,1.0,0.747510801071,0.0102630436113
NLA12_MN-137,1.0,0.5,-0.0
NLA12_MN-138,1.0,1.84520424009,0.00895944644174
NLA12_MN-141,1.0,4.5,0.00735454451707
NLA12_MN-143,1.0,1.25,0.0066180307042
NLA12_MN-144,1.0,0.5,0.0048486650773
NLA12_MN-145,1.0,3.35,0.00351094780765
