,NLA12_ID,AreaSqKM,time
633,NLA12_MN-114,2.241,
634,NLA12_MN-115,3.2832,
635,NLA12_MN-116,12.516744,
636,NLA12_MN-118,2.376181,
637,NLA12_MN-119,3057.125309,
638,NLA12_MN-120,87.493552,
639,NLA12_MN-121,101.207381,
640,NLA12_MN-122,49.8123,
641,NLA12_MN-123,1.72021,
642,NLA12_MN-126,3.1419,
643,NLA12_MN-127,3.24,
644,NLA12_MN-130,4.336971,
645,NLA12_MN-131,0.5922,
646,NLA12_MN-132,11.9961,
647,NLA12_MN-133,0.2457,
648,NLA12_MN-135,5.5485,
649,NLA12_MN-136,0.1701,
650,NLA12_MN-137,1.2195,
651,NLA12_MN-138,1.8963,
652,NLA12_MN-141,2919.9996,
653,NLA12_MN-143,0.1836,
654,NLA12_MN-144,0.3141,
655,NLA12_MN-145,7.9092,
656,NLA12_MN-147,0.8748,
657,NLA12_MN-148,0.657,
658,NLA12_MN-149,0.903755,
659,NLA12_MN-150,2.031108,
660,NLA12_MN-152,4.1661,
661,NLA12_MN-153,5.0715,
662,NLA12_MN-154,1.234761,
663,NLA12_MN-156,2.421099,
664,NLA12_MN-157,1.5948,
665,NLA12_MN-158,4.8483,
666,NLA12_MN-160,0.081,
667,NLA12_MN-162,0.5913,
668,NLA12_MN-163,30.651718,
669,NLA12_MN-166,0.7686,
670,NLA12_MN-167,6.7761,
671,NLA12_MN-170,3.508925,
672,NLA12_MN-171,1.719,
673,NLA12_MN-177,1.0341,
674,NLA12_MN-178,21.270226,
675,NLA12_MN-179,0.0783,
676,NLA12_MN-180,5.8149,
677,NLA12_MN-181,2.043,
678,NLA12_MN-R01,17.2836,
679,NLA12_MN-R12,0.1098,
680,NLA12_MN-R13,0.6894,
681,NLA12_MN-R14,3.18767,
682,NLA12_MO-101,0.9999,
683,NLA12_MO-102,1634.261319,
684,NLA12_MO-103,543.201174,
685,NLA12_MO-104,5.221918,
686,NLA12_MO-105,39.412349,
687,NLA12_MO-106,3361.660723,
688,NLA12_MO-107,2.898,
689,NLA12_MO-108,4.283681,
690,NLA12_MO-109,16.694468,
691,NLA12_MO-110,4.135987,
692,NLA12_MO-113,17.088053,
693,NLA12_MO-114,3.3255,
694,NLA12_MO-115,2.3697,
695,NLA12_MO-116,1.3752,
696,NLA12_MO-117,0.1233,
697,NLA12_MO-118,0.333,
698,NLA12_MO-119,0.5112,
699,NLA12_MO-120,0.1152,
700,NLA12_MO-121,0.6129,
701,NLA12_MO-122,1.1808,
702,NLA12_MO-123,0.4482,
703,NLA12_MO-126,0.3942,
704,NLA12_MO-R01,34.656029,
705,NLA12_MO-R02,6.942076,
706,NLA12_MS-101,25.2738,
707,NLA12_MS-102,3.35355,
708,NLA12_MS-103,0.9252,
709,NLA12_MS-104,2.6442,
710,NLA12_MS-105,11.5083,
711,NLA12_MS-106,3922.065477,
712,NLA12_MS-107,2594.469059,
713,NLA12_MS-110,7.781519,
714,NLA12_MS-112,0.2169,
715,NLA12_MS-113,4.2795,
716,NLA12_MS-114,22.4928,
717,NLA12_MS-116,1.1664,
718,NLA12_MS-119,0.452759,
